NPartida,Nome,Funcao
1,Rodrigo Jose Pereira de Lima,Árbitro
1,Danilo Ricardo Simon Manis (FIFA),Árbitro Assistente 1
1,Karla Renata Cavalcanti de Santana,Árbitro Assistente 2
1,Tarcizo Pinheiro Caetano,Quarto Árbitro
1,Jailson Macêdo Freitas,Assessor
1,Daniel Nobre Bins (VAR-FIFA),Árbitro de Vídeo
1,Andre da Silva Bitencourt,AVAR
1,Gilberto Rodrigues Castro Junior,Assistente de Árbitro de Vídeo 2
1,Roberto Perassi,Observador de VAR
2,Ramon Abatti Abel (FIFA),Árbitro
2,Johnny Barros de Oliveira,Árbitro Assistente 1
2,Henrique Neu Ribeiro,Árbitro Assistente 2
2,Rafael Martins de Sa,Quarto Árbitro
2,Marcos Andre Gomes da Penha,Assessor
2,Rodrigo D Alonso Ferreira,Árbitro de Vídeo
2,Flavio Gomes Barroca,AVAR
2,Bruno Pereira Vasconcelos,Assistente de Árbitro de Vídeo 2
2,Giulliano Bozzano,Observador de VAR
3,Paulo Cesar Zanovelli da Silva (FIFA),Árbitro
3,Bruno Boschilia (FIFA),Árbitro Assistente 1
3,Marcyano da Silva Vicente,Árbitro Assistente 2
3,Matheus Delgado Candançan,Quarto Árbitro
3,Sergio Cristiano Nascimento,Assessor
3,Igor Junio Benevenuto de Oliveira (VAR-FIFA),Árbitro de Vídeo
3,Silbert Faria Sisquim,AVAR
3,Marco Aurelio Augusto Fazekas Ferreira,Assistente de Árbitro de Vídeo 2
3,Ricardo Marques Ribeiro,Observador de VAR
4,Anderson Daronco (FIFA),Árbitro
4,Rafael da Silva Alves (FIFA),Árbitro Assistente 1
4,Mauricio Coelho Silva Penna,Árbitro Assistente 2
4,Douglas Marques das Flores,Quarto Árbitro
4,Adriano de Carvalho,Assessor
4,Wagner Reway (VAR-FIFA),Árbitro de Vídeo
4,Luciano Roggenbaum,AVAR
4,Rodrigo Nunes de Sa (VAR-FIFA),Assistente de Árbitro de Vídeo 2
4,Pericles Bassols Pegado Cortez,Observador de VAR
5,Maguielson Lima Barbosa,Árbitro
5,Rodrigo Figueiredo Henrique Correa (FIFA),Árbitro Assistente 1
5,Eduardo Goncalves da Cruz,Árbitro Assistente 2
5,Thiago Luis Scarascati,Quarto Árbitro
5,Antonio Pereira da Silva,Assessor
5,Rafael Traci (VAR-FIFA),Árbitro de Vídeo
5,Diogo Carvalho Silva,AVAR
5,Marcelo de Lima Henrique,Assistente de Árbitro de Vídeo 2
5,Regildenia de Holanda Moura,Observador de VAR
6,Raphael Claus (FIFA),Árbitro
6,Alex Ang Ribeiro (FIFA),Árbitro Assistente 1
6,Luanderson Lima dos Santos (FIFA),Árbitro Assistente 2
6,Michel Patrick Costa Guimaraes,Quarto Árbitro
6,Jose Mocellin,Assessor
6,Daiane Caroline Muniz dos Santos (FIFA),Árbitro de Vídeo
6,Fabricio Porfirio de Moura,AVAR
6,Alisson Sidnei Furtado,Assistente de Árbitro de Vídeo 2
6,Regildenia de Holanda Moura,Observador de VAR
7,Wilton Pereira Sampaio (FIFA),Árbitro
7,Bruno Raphael Pires (FIFA),Árbitro Assistente 1
7,Leone Carvalho Rocha,Árbitro Assistente 2
7,Erico Andrade de Carvalho,Quarto Árbitro
7,Jose Alexandre Barbosa Lima,Assessor
7,Rodolpho Toski Marques (VAR-FIFA),Árbitro de Vídeo
7,Fabricio Vilarinho da Silva (FIFA),AVAR
7,Elmo Alves Resende Cunha,Assistente de Árbitro de Vídeo 2
7,Hilton Moutinho Rodrigues,Observador de VAR
8,Rafael Rodrigo Klein,Árbitro
8,Lucio Beiersdorf Flor,Árbitro Assistente 1
8,Michael Stanislau,Árbitro Assistente 2
8,Robson Babinski,Quarto Árbitro
8,Ana Karina Marques Valentin,Assessor
8,Thiago Duarte Peixoto,Árbitro de Vídeo
8,Herman Brumel Vani,AVAR
8,Douglas Schwengber da Silva,Assistente de Árbitro de Vídeo 2
8,Marcio Eustaquio Sousa Santiago,Observador de VAR
9,Edina Alves Batista (FIFA),Árbitro
9,Neuza Ines Back (FIFA),Árbitro Assistente 1
9,Fabrini Bevilaqua Costa (FIFA),Árbitro Assistente 2
9,Adriano Barros Carneiro,Quarto Árbitro
9,Marcelo Rogerio,Assessor
9,Rodrigo Guarizo Ferreira do Amaral (VAR-FIFA),Árbitro de Vídeo
9,Frederico Soares Vilarinho,AVAR
9,Philip Georg Bennett,Assistente de Árbitro de Vídeo 2
9,Hilton Moutinho Rodrigues,Observador de VAR
10,Braulio da Silva Machado (FIFA),Árbitro
10,Thiaggo Americano Labes,Árbitro Assistente 1
10,Gizeli Casaril,Árbitro Assistente 2
10,Vinicius Gomes do Amaral,Quarto Árbitro
10,Ednilson Corona,Assessor
10,Pablo Ramon Goncalves Pinheiro (VAR-FIFA),Árbitro de Vídeo
10,Cleriston Clay Barreto Rios,AVAR
10,Dyorgines Jose Padovani de Andrade,Assistente de Árbitro de Vídeo 2
10,Pericles Bassols Pegado Cortez,Observador de VAR
11,Paulo Cesar Zanovelli da Silva (FIFA),Árbitro
11,Neuza Ines Back (FIFA),Árbitro Assistente 1
11,Celso Luiz da Silva,Árbitro Assistente 2
11,Bruno Mota Correia,Quarto Árbitro
11,Antonio Pereira da Silva,Assessor
11,Daiane Caroline Muniz dos Santos (FIFA),Árbitro de Vídeo
11,Fabricio Porfirio de Moura,AVAR
11,Vinicius Furlan,Assistente de Árbitro de Vídeo 2
11,Roberto Perassi,Observador de VAR
12,Rafael Rodrigo Klein,Árbitro
12,Bruno Raphael Pires (FIFA),Árbitro Assistente 1
12,Rafael da Silva Alves (FIFA),Árbitro Assistente 2
12,Felipe da Silva Goncalves Paludo,Quarto Árbitro
12,Adriano de Carvalho,Assessor
12,Wagner Reway (VAR-FIFA),Árbitro de Vídeo
12,Cleriston Clay Barreto Rios,AVAR
12,Alisson Sidnei Furtado,Assistente de Árbitro de Vídeo 2
12,Ricardo Marques Ribeiro,Observador de VAR
13,Wagner do Nascimento Magalhaes (FIFA),Árbitro
13,Thiago Rosa de Oliveira,Árbitro Assistente 1
13,Cristhian Passos Sorence,Árbitro Assistente 2
13,Joao Vitor Gobi,Quarto Árbitro
13,Jose Mocellin,Assessor
13,Daniel Nobre Bins (VAR-FIFA),Árbitro de Vídeo
13,Fabricio Vilarinho da Silva (FIFA),AVAR
13,Douglas Schwengber da Silva,Assistente de Árbitro de Vídeo 2
13,Giulliano Bozzano,Observador de VAR
14,Braulio da Silva Machado (FIFA),Árbitro
14,Alex dos Santos,Árbitro Assistente 1
14,Henrique Neu Ribeiro,Árbitro Assistente 2
14,Ilbert Estevam da Silva,Quarto Árbitro
14,Marrubson Melo Freitas,Assessor
14,Rodrigo D Alonso Ferreira,Árbitro de Vídeo
14,Helton Nunes,AVAR
14,Elmo Alves Resende Cunha,Assistente de Árbitro de Vídeo 2
14,Anderson Carlos Goncalves,Observador de VAR
15,Bruno Arleu de Araujo (FIFA),Árbitro
15,Rodrigo Figueiredo Henrique Correa (FIFA),Árbitro Assistente 1
15,Thiago Henrique Neto Correa Farinha,Árbitro Assistente 2
15,Eduardo Tomaz de Aquino Valadao,Quarto Árbitro
15,Jailson Macêdo Freitas,Assessor
15,Rafael Traci (VAR-FIFA),Árbitro de Vídeo
15,Antonio Adriano de Oliveira,AVAR
15,Lucas Paulo Torezin,Assistente de Árbitro de Vídeo 2
15,Hilton Moutinho Rodrigues,Observador de VAR
16,Flavio Rodrigues de Souza (FIFA),Árbitro
16,Alex Ang Ribeiro (FIFA),Árbitro Assistente 1
16,Evandro de Melo Lima,Árbitro Assistente 2
16,Andre Luiz Skettino Policarpo Bento,Quarto Árbitro
16,Silvio Eduardo Silva E Silva,Assessor
16,Rodrigo Guarizo Ferreira do Amaral (VAR-FIFA),Árbitro de Vídeo
16,Herman Brumel Vani,AVAR
16,Marcio Henrique de Gois,Assistente de Árbitro de Vídeo 2
16,Regildenia de Holanda Moura,Observador de VAR
17,Ramon Abatti Abel (FIFA),Árbitro
17,Bruno Boschilia (FIFA),Árbitro Assistente 1
17,Marcelo Carvalho Van Gasse,Árbitro Assistente 2
17,Roger Goulart,Quarto Árbitro
17,Ednilson Corona,Assessor
17,Rodolpho Toski Marques (VAR-FIFA),Árbitro de Vídeo
17,Frederico Soares Vilarinho,AVAR
17,Diego Pombo Lopez,Assistente de Árbitro de Vídeo 2
17,Pericles Bassols Pegado Cortez,Observador de VAR
