NPartida,Time,Camisa,Apelido,href
1,Flamengo - RJ,1,Santos,https://www.cbf.com.br/futebol-brasileiro/atletas/293428?exercicio=2023
1,Flamengo - RJ,6,Ayrton Lucas,https://www.cbf.com.br/futebol-brasileiro/atletas/432491?exercicio=2023
1,Flamengo - RJ,11,Everton,https://www.cbf.com.br/futebol-brasileiro/atletas/379065?exercicio=2023
1,Flamengo - RJ,27,Bruno Henrique,https://www.cbf.com.br/futebol-brasileiro/atletas/401839?exercicio=2023
1,Flamengo - RJ,20,Gerson,https://www.cbf.com.br/futebol-brasileiro/atletas/310733?exercicio=2023
1,Flamengo - RJ,4,Leo Pereira,https://www.cbf.com.br/futebol-brasileiro/atletas/310373?exercicio=2023
1,Flamengo - RJ,8,Thiago Maia,https://www.cbf.com.br/futebol-brasileiro/atletas/384124?exercicio=2023
1,Flamengo - RJ,48,Igor Jesus,https://www.cbf.com.br/futebol-brasileiro/atletas/568563?exercicio=2023
1,Flamengo - RJ,7,Éverton Ribeiro,https://www.cbf.com.br/futebol-brasileiro/atletas/177444?exercicio=2023
1,Flamengo - RJ,29,Victor Hugo,https://www.cbf.com.br/futebol-brasileiro/atletas/610109?exercicio=2023
1,Flamengo - RJ,15,Fabricio Bruno,https://www.cbf.com.br/futebol-brasileiro/atletas/389228?exercicio=2023
1,Flamengo - RJ,10,Gabriel Barbosa,https://www.cbf.com.br/futebol-brasileiro/atletas/337830?exercicio=2023
1,Flamengo - RJ,9,Pedro,https://www.cbf.com.br/futebol-brasileiro/atletas/303716?exercicio=2023
1,Flamengo - RJ,42,Matheus França,https://www.cbf.com.br/futebol-brasileiro/atletas/613444?exercicio=2023
1,Flamengo - RJ,31,Marinho,https://www.cbf.com.br/futebol-brasileiro/atletas/184307?exercicio=2023
1,Flamengo - RJ,43,Wesley,https://www.cbf.com.br/futebol-brasileiro/atletas/658877?exercicio=2023
1,Flamengo - RJ,25,Matheus Cunha,https://www.cbf.com.br/futebol-brasileiro/atletas/524493?exercicio=2023
1,Flamengo - RJ,2,Varela,https://www.cbf.com.br/futebol-brasileiro/atletas/778033?exercicio=2023
1,Flamengo - RJ,39,Zé Welinton,https://www.cbf.com.br/futebol-brasileiro/atletas/639359?exercicio=2023
1,Flamengo - RJ,30,Pablo,https://www.cbf.com.br/futebol-brasileiro/atletas/292526?exercicio=2023
1,Flamengo - RJ,38,Andre,https://www.cbf.com.br/futebol-brasileiro/atletas/683481?exercicio=2023
1,Flamengo - RJ,40,Matheus Gonçalves,https://www.cbf.com.br/futebol-brasileiro/atletas/613609?exercicio=2023
1,Flamengo - RJ,3,Rodrigo Caio,https://www.cbf.com.br/futebol-brasileiro/atletas/316645?exercicio=2023
2,Botafogo - RJ,12,Lucas Perri,https://www.cbf.com.br/futebol-brasileiro/atletas/337017?exercicio=2023
2,Botafogo - RJ,34,Adryelson,https://www.cbf.com.br/futebol-brasileiro/atletas/457303?exercicio=2023
2,Botafogo - RJ,33,Carlos,https://www.cbf.com.br/futebol-brasileiro/atletas/184041?exercicio=2023
2,Botafogo - RJ,5,Danilo,https://www.cbf.com.br/futebol-brasileiro/atletas/352677?exercicio=2023
2,Botafogo - RJ,6,Tche Tche,https://www.cbf.com.br/futebol-brasileiro/atletas/308348?exercicio=2023
2,Botafogo - RJ,18,Lucas,https://www.cbf.com.br/futebol-brasileiro/atletas/374303?exercicio=2023
2,Botafogo - RJ,9,Tiquinho,https://www.cbf.com.br/futebol-brasileiro/atletas/301823?exercicio=2023
2,Botafogo - RJ,10,Gustavo,https://www.cbf.com.br/futebol-brasileiro/atletas/330972?exercicio=2023
2,Botafogo - RJ,11,Luis Henrique,https://www.cbf.com.br/futebol-brasileiro/atletas/551311?exercicio=2023
2,Botafogo - RJ,37,Junior,https://www.cbf.com.br/futebol-brasileiro/atletas/540268?exercicio=2023
2,Botafogo - RJ,19,Matias Segovia,https://www.cbf.com.br/futebol-brasileiro/atletas/803466?exercicio=2023
2,Botafogo - RJ,24,Di Placido,https://www.cbf.com.br/futebol-brasileiro/atletas/795731?exercicio=2023
2,Botafogo - RJ,4,Luis Segovia,https://www.cbf.com.br/futebol-brasileiro/atletas/793896?exercicio=2023
2,Botafogo - RJ,2,Rafael,https://www.cbf.com.br/futebol-brasileiro/atletas/175719?exercicio=2023
2,Botafogo - RJ,20,Daniel Borges,https://www.cbf.com.br/futebol-brasileiro/atletas/322852?exercicio=2023
2,Botafogo - RJ,15,Victor Cuesta,https://www.cbf.com.br/futebol-brasileiro/atletas/567555?exercicio=2023
2,São Paulo - SP,23,Rafael,https://www.cbf.com.br/futebol-brasileiro/atletas/180213?exercicio=2023
2,São Paulo - SP,27,Wellington Rato,https://www.cbf.com.br/futebol-brasileiro/atletas/307285?exercicio=2023
2,São Paulo - SP,20,Gabriel Neves,https://www.cbf.com.br/futebol-brasileiro/atletas/732955?exercicio=2023
2,São Paulo - SP,38,Caio Paulista,https://www.cbf.com.br/futebol-brasileiro/atletas/460683?exercicio=2023
2,São Paulo - SP,28,Alan Franco,https://www.cbf.com.br/futebol-brasileiro/atletas/793760?exercicio=2023
2,São Paulo - SP,13,Rafinha,https://www.cbf.com.br/futebol-brasileiro/atletas/161656?exercicio=2023
2,São Paulo - SP,5,Arboleda,https://www.cbf.com.br/futebol-brasileiro/atletas/595193?exercicio=2023
2,São Paulo - SP,21,Sebastian Mendez,https://www.cbf.com.br/futebol-brasileiro/atletas/793827?exercicio=2023
2,São Paulo - SP,29,Pablo,https://www.cbf.com.br/futebol-brasileiro/atletas/552144?exercicio=2023
2,São Paulo - SP,15,Michel Araujo,https://www.cbf.com.br/futebol-brasileiro/atletas/693055?exercicio=2023
2,São Paulo - SP,11,Rodrigo Nestor,https://www.cbf.com.br/futebol-brasileiro/atletas/464320?exercicio=2023
2,São Paulo - SP,7,Alisson,https://www.cbf.com.br/futebol-brasileiro/atletas/317751?exercicio=2023
2,São Paulo - SP,10,Luciano,https://www.cbf.com.br/futebol-brasileiro/atletas/346745?exercicio=2023
2,São Paulo - SP,22,David,https://www.cbf.com.br/futebol-brasileiro/atletas/430588?exercicio=2023
2,São Paulo - SP,9,Calleri,https://www.cbf.com.br/futebol-brasileiro/atletas/541246?exercicio=2023
2,Botafogo - RJ,22,Douglas,https://www.cbf.com.br/futebol-brasileiro/atletas/184332?exercicio=2023
2,Botafogo - RJ,14,Gabriel,https://www.cbf.com.br/futebol-brasileiro/atletas/319888?exercicio=2023
2,Botafogo - RJ,39,Janderson,https://www.cbf.com.br/futebol-brasileiro/atletas/444079?exercicio=2023
2,Botafogo - RJ,17,Marlon Freitas,https://www.cbf.com.br/futebol-brasileiro/atletas/405713?exercicio=2023
2,Botafogo - RJ,94,Philipe,https://www.cbf.com.br/futebol-brasileiro/atletas/351794?exercicio=2023
2,Botafogo - RJ,75,RAI,https://www.cbf.com.br/futebol-brasileiro/atletas/613097?exercicio=2023
2,Botafogo - RJ,52,Igo Gabriel,https://www.cbf.com.br/futebol-brasileiro/atletas/641724?exercicio=2023
2,São Paulo - SP,1,Felipe,https://www.cbf.com.br/futebol-brasileiro/atletas/177931?exercicio=2023
2,São Paulo - SP,35,Beraldo,https://www.cbf.com.br/futebol-brasileiro/atletas/548981?exercicio=2023
2,São Paulo - SP,31,Juan,https://www.cbf.com.br/futebol-brasileiro/atletas/545434?exercicio=2023
2,São Paulo - SP,34,Rai,https://www.cbf.com.br/futebol-brasileiro/atletas/331532?exercicio=2023
2,São Paulo - SP,45,Nathan,https://www.cbf.com.br/futebol-brasileiro/atletas/542178?exercicio=2023
2,São Paulo - SP,36,Patryck,https://www.cbf.com.br/futebol-brasileiro/atletas/548987?exercicio=2023
2,São Paulo - SP,93,Jandrei,https://www.cbf.com.br/futebol-brasileiro/atletas/295557?exercicio=2023
3,Palmeiras - SP,21,Weverton,https://www.cbf.com.br/futebol-brasileiro/atletas/169050?exercicio=2023
3,Palmeiras - SP,26,Murilo,https://www.cbf.com.br/futebol-brasileiro/atletas/392224?exercicio=2023
3,Palmeiras - SP,15,Gustavo Gomez,https://www.cbf.com.br/futebol-brasileiro/atletas/633571?exercicio=2023
3,Palmeiras - SP,6,Vanderlan,https://www.cbf.com.br/futebol-brasileiro/atletas/554444?exercicio=2023
3,Palmeiras - SP,9,Endrick,https://www.cbf.com.br/futebol-brasileiro/atletas/691597?exercicio=2023
3,Palmeiras - SP,29,Rafael Navarro,https://www.cbf.com.br/futebol-brasileiro/atletas/505714?exercicio=2023
3,Palmeiras - SP,8,Ze Rafael,https://www.cbf.com.br/futebol-brasileiro/atletas/330886?exercicio=2023
3,Palmeiras - SP,35,Fabinho,https://www.cbf.com.br/futebol-brasileiro/atletas/547222?exercicio=2023
3,Palmeiras - SP,7,Dudu,https://www.cbf.com.br/futebol-brasileiro/atletas/291738?exercicio=2023
3,Palmeiras - SP,14,Artur,https://www.cbf.com.br/futebol-brasileiro/atletas/419646?exercicio=2023
3,Palmeiras - SP,19,Breno,https://www.cbf.com.br/futebol-brasileiro/atletas/389378?exercicio=2023
3,Palmeiras - SP,18,Lopez,https://www.cbf.com.br/futebol-brasileiro/atletas/773040?exercicio=2023
3,Palmeiras - SP,31,Luis Guilherme,https://www.cbf.com.br/futebol-brasileiro/atletas/691605?exercicio=2023
3,Palmeiras - SP,25,Gabriel Menino,https://www.cbf.com.br/futebol-brasileiro/atletas/501063?exercicio=2023
3,Palmeiras - SP,27,Richard Rios,https://www.cbf.com.br/futebol-brasileiro/atletas/672172?exercicio=2023
3,Palmeiras - SP,2,Marcos Rocha,https://www.cbf.com.br/futebol-brasileiro/atletas/176390?exercicio=2023
